FIGHTER,STRIKES,TD_ATTEMPT,SUB_ATTEMPT,WINNER
Justin Willis,2,0,0,0
John Makdessi,73,0,0,1
Jesus Pinedo,37,0,0,0
Jussier Formiga,26,3,0,1
Deiveson Figueiredo,14,0,0,0
Luis Pena,52,1,0,1
Steven Peterson,34,4,1,0
Maycee Barber,55,0,0,1
JJ Aldrich,25,0,0,0
Bryce Mitchell,17,0,2,1
Bobby Moffett,9,5,2,0
Marlon Vera,12,0,0,1
Frankie Saenz,4,0,0,0
Jennifer Maia,60,0,0,1
Alexis Davis,72,1,0,0
Randa Markos,13,1,1,1
Angela Hill,2,0,0,0
Chris Gutierrez,69,0,0,1
Ryan MacDonald,15,0,0,0
Jordan Espinosa,47,1,0,1
Eric Shelton,25,0,0,0
Jorge Masvidal,35,1,0,1
Darren Till,21,1,0,0
Leon Edwards,31,2,0,1
Gunnar Nelson,9,3,0,0
Dominick Reyes,44,0,0,1
Volkan Oezdemir,35,1,0,0
Nathaniel Wood,30,2,2,1
Jose Quinonez,34,1,0,0
Claudio Silva,19,3,4,1
Danny Roberts,26,0,0,0
Jack Marshman,31,0,0,1
John Phillips,32,0,0,0
Arnold Allen,37,0,0,1
Jordan Rinaldi,30,0,0,0
Marc Diakiese,63,3,0,1
Joe Duffy,15,1,0,0
Saparbeg Safarov,70,3,0,1
Nicolae Negumereanu,11,0,0,0
Dan Ige,10,1,1,1
Danny Henry,4,0,0,0
Molly McCann,107,2,2,1
Priscila Cachoeira,75,0,0,0
Mike Grundy,33,1,0,1
Nad Narimani,22,0,0,0
Junior Dos Santos,29,0,0,1
Derrick Lewis,7,0,0,0
Elizeu Zaleski dos Santos,6,1,1,1
Curtis Millender,0,0,0,0
Niko Price,32,0,0,1
Tim Means,31,1,0,0
Blagoy Ivanov,72,0,0,1
Ben Rothwell,70,0,0,0
Beneil Dariush,37,2,1,1
Drew Dober,31,0,0,0
Omari Akhmedov,52,0,0,1
Tim Boetsch,41,0,0,0
Anthony Rocco Martin,50,0,0,1
Sergio Moraes,19,3,0,0
Yana Kunitskaya,98,1,0,1
Marion Reneau,58,1,0,0
Grant Dawson,57,6,1,1
Julian Erosa,49,0,1,0
Maurice Greene,70,0,0,1
Jeff Hughes,66,0,0,0
Matt Schnell,14,1,2,1
Louis Smolka,13,0,0,0
Alex Morono,25,0,1,1
Zak Ottow,10,1,0,0
Alex White,49,2,3,1
Dan Moret,42,1,0,0
Jon Jones,125,3,0,1
Anthony Smith,36,0,0,0
Kamaru Usman,141,2,0,1
Tyron Woodley,34,0,0,0
Ben Askren,0,1,1,1
Robbie Lawler,26,1,0,0
Weili Zhang,63,2,0,1
Tecia Torres,30,0,0,0
Pedro Munhoz,25,0,0,1
Cody Garbrandt,21,0,0,0
Zabit Magomedsharipov,70,3,0,1
Jeremy Stephens,41,0,0,0
Johnny Walker,4,0,0,1
Misha Cirkunov,1,0,0,0
Cody Stamann,48,0,0,1
Alejandro Perez,41,1,0,0
Diego Sanchez,56,4,0,1
Mickey Gall,23,0,0,0
Edmen Shahbazyan,13,0,0,1
Charles Byrd,1,0,0,0
Macy Chiasson,25,0,0,1
Gina Mazany,14,0,0,0
Hannah Cifers,67,0,0,1
Polyana Viana,77,0,0,0
Thiago Santos,52,1,0,1
Jan Blachowicz,20,0,0,0
Stefan Struve,0,1,1,1
Marcos Rogerio de Lima,25,0,0,0
Michal Oleksiejczuk,14,0,0,1
Gian Villante,9,0,0,0
Liz Carmouche,14,3,2,1
Lucie Pudilova,33,0,2,0
Petr Yan,80,2,0,1
John Dodson,30,2,0,0
Magomed Ankalaev,30,1,0,1
Klidson Abreu,23,0,0,0
Dwight Grant,20,0,0,1
Carlo Pedersoli,17,1,0,0
Chris Fishgold,14,5,2,1
Daniel Teymur,17,1,0,0
Gillian Robertson,5,2,1,1
Veronica Macedo,23,1,0,0
Damir Hadzovic,58,2,0,1
Polo Reyes,24,0,0,0
Ismail Naurdiev,63,0,1,1
Michel Prazeres,15,3,0,0
Diego Ferreira,83,0,1,1
Rustam Khabilov,43,3,0,0
Damir Ismagulov,64,0,0,1
Joel Alvarez,38,0,0,0
Francis Ngannou,6,0,0,1
Cain Velasquez,1,0,0,0
Paul Felder,55,0,0,1
James Vick,61,0,0,0
Cynthia Calvillo,82,0,0,1
Cortney Casey,73,0,0,0
Kron Gracie,2,1,1,1
Alex Caceres,4,0,0,0
Vicente Luque,163,0,2,1
Bryan Barberena,169,0,0,0
Andre Fili,98,0,0,1
Myles Jury,76,0,0,0
Aljamain Sterling,101,0,0,1
Jimmie Rivera,24,0,0,0
Manny Bermudez,7,1,1,1
Benito Lopez,7,0,0,0
Andrea Lee,111,0,0,1
Ashlee Evans-Smith,66,2,0,0
Nik Lentz,71,5,1,1
Scott Holtzman,54,0,0,0
Luke Sanders,39,0,0,1
Renan Barao,40,0,0,0
Emily Whitmire,3,1,1,1
Alexandra Albu,2,0,0,0
Israel Adesanya,65,0,0,1
Anderson Silva,31,0,0,0
Lando Vannata,20,1,1,1
Marcos Mariano,3,0,0,0
Ricky Simon,54,4,0,1
Rani Yahya,47,0,0,0
Montana De La Rosa,21,2,3,1
Nadia Kassem,5,0,0,0
Jimmy Crute,14,0,0,1
Sam Alvey,3,0,0,0
Devonte Smith,19,0,0,1
Dong Hyun Ma,1,0,0,0
Shane Young,120,0,0,1
Austin Arnett,77,0,0,0
Kai Kara-France,58,2,0,1
Raulian Paiva,67,0,1,0
Kyung Ho Kang,26,1,1,1
Teruto Ishihara,17,0,0,0
Jalin Turner,9,0,0,1
Callan Potter,3,0,0,0
Jonathan Martinez,47,1,0,1
Wuliji Buren,17,3,1,0
Marlon Moraes,10,0,1,1
Raphael Assuncao,2,0,0,0
Jose Aldo,26,0,0,1
Renato Moicano,24,0,0,0
Demian Maia,0,2,2,1
Lyman Good,0,0,0,0
Charles Oliveira,28,1,1,1
David Teymur,26,0,0,0
Johnny Walker,7,0,0,1
Justin Ledet,0,0,0,0
Livinha Souza,23,4,3,1
Sarah Frota,32,0,0,0
Markus Perez,16,1,1,1
Anthony Hernandez,17,0,0,0
Mara Romero Borella,29,2,0,1
Taila Santos,36,1,2,0
Thiago Alves,83,0,0,1
Max Griffin,112,2,0,0
Jairzinho Rozenstruik,19,0,0,1
Junior Albini,18,2,0,0
Geraldo de Freitas,49,6,0,1
Felipe Colares,21,3,0,0
Said Nurmagomedov,17,0,0,1
Ricardo Ramos,2,0,0,0
Rogerio Bontorin,40,1,2,1
Magomed Bibulatov,58,4,0,0
Henry Cejudo,18,0,0,1
TJ Dillashaw,1,0,0,0
Allen Crowder,12,1,1,1
Greg Hardy,29,0,0,0
Gregor Gillespie,51,6,0,1
Yancy Medeiros,1,0,0,0
Joseph Benavidez,21,7,0,1
Dustin Ortiz,49,3,0,0
Paige VanZant,17,0,2,1
Rachael Ostovich,10,4,0,0
Glover Teixeira,6,1,1,1
Karl Roberson,24,0,0,0
Donald Cerrone,80,1,0,1
Alexander Hernandez,49,0,0,0
Joanne Calderwood,85,1,2,1
Ariane Lipski,53,1,0,0
Alonzo Menifield,33,0,0,1
Vinicius Moreira,11,0,0,0
Cory Sandhagen,17,1,2,1
Mario Bautista,9,1,0,0
Dennis Bermudez,63,5,2,1
Te Edwards,23,0,0,0
Geoff Neal,71,0,0,1
Belal Muhammad,63,0,0,0
Chance Rencountre,6,2,1,1
Kyle Stewart,2,0,0,0
